iter	Passed	Remaining
0	4	451
1	8	412
2	12	395
3	16	406
4	20	392
5	25	392
6	30	399
7	33	389
8	37	377
9	41	371
10	44	359
11	48	354
12	51	346
13	55	338
14	58	331
15	61	321
16	64	315
17	67	309
18	70	301
19	74	296
20	77	290
21	80	286
22	84	284
23	88	278
24	91	273
25	94	269
26	98	266
27	102	262
28	105	258
29	109	255
30	113	251
31	116	246
32	119	242
33	122	238
34	126	234
35	128	229
36	132	224
37	135	220
38	139	217
39	142	214
40	145	209
41	149	207
42	153	203
43	156	198
44	159	194
45	162	190
46	166	187
47	169	183
48	172	179
49	175	175
50	178	171
51	181	167
52	185	164
53	188	160
54	192	157
55	195	153
56	199	150
57	202	146
58	205	143
59	208	139
60	212	135
61	217	133
62	220	129
63	223	125
64	226	121
65	229	118
66	233	115
67	237	111
68	240	107
69	243	104
70	247	100
71	251	97
72	255	94
73	258	90
74	262	87
75	264	83
76	268	80
77	271	76
78	275	73
79	279	69
80	282	66
81	285	62
82	288	59
83	291	55
84	294	52
85	298	48
86	302	45
87	306	41
88	308	38
89	311	34
90	314	31
91	317	27
92	320	24
93	323	20
94	326	17
95	329	13
96	332	10
97	336	6
98	339	3
99	342	0
