iter	Passed	Remaining
0	1	180
1	3	156
2	4	146
3	5	143
4	7	136
5	8	133
6	9	124
7	10	119
8	11	116
9	12	112
10	13	108
11	14	104
12	15	101
13	16	99
14	17	97
15	18	95
16	19	93
17	20	91
18	21	89
19	22	89
20	23	87
21	24	85
22	25	84
23	25	82
24	26	80
25	28	79
26	29	78
27	30	77
28	30	75
29	31	74
30	32	72
31	33	72
32	34	70
33	35	69
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	61
40	42	60
41	42	59
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	71	29
71	74	28
72	75	27
73	77	27
74	78	26
75	80	25
76	81	24
77	83	23
78	85	22
79	86	21
80	88	20
81	89	19
82	92	18
83	93	17
84	95	16
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	105	7
93	106	6
94	107	5
95	108	4
96	110	3
97	111	2
98	113	1
99	114	0
